,Latitude,Longitude,Measurement,Year,DensityClass
5323,40.3,-70.18,0.00216,1992,1
5324,40.45,-69.8,0.00216,1992,1
5325,41.37,-70.98,0.00216,1992,1
5326,40.63,-69.88,0.00216,1992,1
5327,26.12,-80.01,0.00216,1992,1
5328,16.53,-85.58,0.00216,1992,1
5329,24.33,-57.2,0.00216,1992,1
5330,15.0,-61.4,0.00216,1992,1
5331,25.67,-77.37,0.00216,1992,1
5332,41.17,-59.23,0.00216,1992,1
5333,42.66,-64.39,0.00216,1992,1
5334,17.22,-63.45,0.00216,1992,1
5335,45.0,-58.55,0.00216,1992,1
5336,39.76,-65.0,0.00216,1992,1
5337,41.23,-68.33,0.00216,1992,1
5338,20.4,-71.57,0.00216,1992,1
5339,13.35,-61.38,0.00216,1992,1
5340,13.82,-81.58,0.00216,1992,1
5341,35.85,-65.93,0.00216,1992,1
5342,14.25,-75.4,0.00216,1992,1
5343,40.63,-69.88,0.00216,1992,1
5344,43.14,-68.8,0.00216,1992,1
5345,40.77,-70.08,0.00216,1992,1
5346,42.66,-64.39,0.00216,1992,1
5347,18.15,-74.89,0.00216,1992,1
5348,43.82,-69.5,0.00216,1992,1
5349,13.35,-61.38,0.00216,1992,1
5350,14.25,-75.4,0.00216,1992,1
5351,40.35,-65.54,0.00216,1992,1
5352,13.25,-68.92,0.00216,1992,1
5353,15.57,-69.95,0.00216,1992,1
5354,40.53,-62.1,0.00216,1992,1
5355,16.58,-75.43,0.00216,1992,1
5356,25.65,-76.94,0.00216,1993,1
5357,18.38,-76.15,0.00216,1993,1
5358,22.9,-72.07,0.00216,1993,1
5359,12.78,-61.72,0.00216,1993,1
5360,21.97,-75.93,0.00216,1993,1
5361,15.48,-76.05,0.00216,1993,1
5362,16.98,-60.0,0.00216,1993,1
5363,25.4,-57.82,0.00216,1993,1
5364,21.0,-72.92,0.00216,1993,1
5365,17.05,-78.02,0.00216,1993,1
5366,26.3,-78.37,0.00216,1993,1
5367,39.93,-71.15,0.00216,1993,1
5368,25.53,-76.12,0.00216,1993,1
5369,43.35,-62.98,0.00216,1993,1
5370,23.92,-74.23,0.00216,1993,1
5371,40.16,-69.71,0.00216,1993,1
5372,24.42,-83.35,0.00216,1993,1
5373,23.98,-81.59,0.00216,1993,1
5374,18.45,-76.48,0.00216,1993,1
5375,22.9,-72.07,0.00216,1993,1
5376,25.97,-79.73,0.00216,1993,1
5377,25.91,-78.23,0.00216,1993,1
5378,12.07,-67.95,0.00216,1993,1
5379,16.03,-62.37,0.00216,1993,1
5380,25.97,-77.97,0.00216,1993,1
5381,18.75,-75.43,0.00216,1993,1
5382,25.6,-77.13,0.00216,1993,1
5383,39.45,-70.68,0.00216,1993,1
5384,33.2,-60.55,0.00216,1993,1
5385,11.95,-77.68,0.00216,1993,1
5386,18.25,-76.2,0.00216,1993,1
5387,23.97,-82.68,0.00216,1993,1
5388,16.58,-84.12,0.00216,1993,1
5389,17.02,-63.43,0.00216,1993,1
5390,24.05,-74.05,0.00216,1993,1
5391,16.63,-63.87,0.00216,1994,1
5392,14.03,-63.42,0.00216,1994,1
5393,41.45,-70.77,0.00216,1994,1
5394,17.68,-64.95,0.00216,1994,1
5395,41.07,-65.38,0.00216,1994,1
5396,22.97,-73.2,0.00216,1994,1
5397,43.57,-69.35,0.00216,1994,1
5398,20.35,-79.57,0.00216,1994,1
5399,43.4,-68.32,0.00216,1994,1
5400,12.18,-61.82,0.00216,1994,1
5401,41.03,-68.58,0.00216,1994,1
5402,17.02,-72.57,0.00216,1994,1
5403,12.12,-62.22,0.00216,1994,1
5404,42.48,-61.87,0.00216,1994,1
5405,13.02,-61.45,0.00216,1994,1
5406,22.48,-57.92,0.00216,1994,1
5407,31.38,-59.92,0.00216,1994,1
5408,16.98,-73.63,0.00216,1994,1
5409,33.38,-64.03,0.00216,1994,1
5410,44.23,-60.83,0.00216,1994,1
5411,19.82,-79.93,0.00216,1994,1
5412,40.98,-68.53,0.00216,1994,1
5413,41.03,-68.58,0.00216,1994,1
5414,36.82,-65.43,0.00216,1994,1
5415,25.83,-73.38,0.00216,1994,1
5416,18.7,-77.33,0.00216,1994,1
5417,42.38,-61.08,0.00216,1994,1
5418,16.62,-64.7,0.00216,1994,1
5419,17.02,-78.22,0.00216,1994,1
5420,11.52,-67.32,0.00216,1995,1
5421,17.27,-76.58,0.00216,1995,1
5422,12.83,-61.67,0.00216,1995,1
5423,16.83,-58.95,0.00216,1995,1
5424,17.35,-60.2,0.00216,1995,1
5425,18.32,-76.1,0.00216,1995,1
5426,40.98,-70.43,0.00216,1995,1
5427,25.79,-76.42,0.00216,1995,1
5428,21.75,-59.92,0.00216,1995,1
5429,42.32,-69.13,0.00216,1995,1
5430,39.58,-69.65,0.00216,1995,1
5431,12.73,-60.52,0.00216,1995,1
5432,25.85,-76.37,0.00216,1995,1
5433,25.92,-77.85,0.00216,1995,1
5434,25.79,-76.42,0.00216,1995,1
5435,40.99,-71.54,0.00216,1995,1
5436,16.1,-61.9,0.00216,1995,1
5437,42.36,-61.88,0.00216,1995,1
5438,24.1,-77.03,0.00216,1995,1
